Hour,AdjustedDateTime,CurrentRoundTripSeconds,CurrentRoundTripMinutes,BusLaneRoundTripSeconds,BusLaneRoundTripMinutes,LowTrafficRoundTripSeconds,LowTrafficRoundTripMinutes
5,5 AM,2583,43.05,2251,37.51666667,2417,40.28333333
6,6 AM,3030,50.5,2251,37.51666667,2640.5,44.00833333
7,7 AM,3761.5,62.69166667,2251,37.51666667,3006.25,50.10416667
8,8 AM,4126,68.76666667,2251,37.51666667,3188.5,53.14166667
9,9 AM,4013.5,66.89166667,2251,37.51666667,3132.25,52.20416667
10,10 AM,3833,63.88333333,2251,37.51666667,3042,50.7
11,11 AM,3826.5,63.775,2251,37.51666667,3038.75,50.64583333
12,12 PM,3951.5,65.85833333,2251,37.51666667,3101.25,51.6875
13,1 PM,3933.5,65.55833333,2251,37.51666667,3092.25,51.5375
14,2 PM,4202.5,70.04166667,2251,37.51666667,3226.75,53.77916667
15,3 PM,4308.5,71.80833333,2251,37.51666667,3279.75,54.6625
16,4 PM,4556,75.93333333,2251,37.51666667,3403.5,56.725
17,5 PM,5144.5,85.74166667,2251,37.51666667,3697.75,61.62916667
18,6 PM,4418,73.63333333,2251,37.51666667,3334.5,55.575
19,7 PM,3802.5,63.375,2251,37.51666667,3026.75,50.44583333
20,8 PM,3389,56.48333333,2251,37.51666667,2820,47
21,9 PM,3171,52.85,2251,37.51666667,2711,45.18333333
22,10 PM,3094.5,51.575,2251,37.51666667,2672.75,44.54583333
23,11 PM,2915,48.58333333,2251,37.51666667,2583,43.05
0,12 AM,2660.5,44.34166667,2251,37.51666667,2455.75,40.92916667
1,1 AM,2466.5,41.10833333,2251,37.51666667,2358.75,39.3125
